Word,Meaning
Competent ,having adequate ability or skill in a certain area
Competition,a challenge for an award or prize
Competitive,having a strong desire to win or be the best at something
Competitor,one who takes part in a contest or competition
Compilation,a collection
Compile,to bring together items and put them in one set or collection
Complacency,a feeling of self-satisfaction that makes one unaware of one’s environment
Complacent,pleased; overly content
Complain,to make negative remarks about someone or something often
Complaint,"a grievance, problem, difficulty or concern; the act of complaining"
Complaisant,marked by an inclination to please or oblige
Complement ,a part that makes something perfect or complete
Complete,to finish; to conclude; to reach the end 
Complex,difficult and complicated
Complexion,the tone and look of the skin of someone’s face
Complexity,the state of being difficult or complicated
Compliance ,the act of obeying rules
Compliant,observing the requirements and rules
Complicate,make something more difficult or confusing by causing it to be more complex
Complicated,difficult and involving many different parts
Complication,a difficulty or problem
Complicity,the condition of being involved in an act of wrongdoing
Compliment,a few words of praise: saying that someone or something is good in some way
Comply,to obey or be in agreement with a policy or rule
Component,a small section of a bigger part of a whole thing
Comport,to fit with or act in a certain fashion
Comportment,conduct; manners
Compose,"to put something together, like a letter, song, poem, speech, etc."
Composed,calm and showing no signs of nervousness
Composite,comprised of various elements 
 Composition ,the overall structure of something
Compost,"decayed material (i.e., leaves, food peelings) that is used as a fertilizer"
Composure ,peace of mind
Compound,a property that has multiple buildings in one area
Compound,a thing that is composed of two or more separate parts
Comprehend,to mentally grasp the meaning or reason behind something
Comprehension,understanding; grasp of knowledge
Comprehensive,comprising a wide range of things
Compress,to flatten something by pressure
Compression,the action of squeezing something into a smaller form or space
Comprise,to be made up of 
Comprised,to be formed or made from
Compromise,an arrangement reached when two parties agree to make allowances
Comptroller,a person in charge of supervising the quality of the accounting and financial reporting of a corporation or public body
Compulsion ,an illogical need to perform an action
Compulsive,uncontrolled or reactive and irresistible behavior
Compulsory,not having an option; required
Compunction,anxiety arising from awareness of guilt
Computation,the act of mathematically calculating something
Compute,to calculate or work out
Comrade,one who shares an experience or duty
Con,to trick or mislead someone
Concatenation,taking two separately located things and placing them side by side so that they become two things
Concave,shaped in an inward manner like a bowl’s interior
Conceal,to put out of sight or hide from scrutiny
Concede,to admit something is true or to admit defeat in a contest
Conceit,arrogant pride in oneself
Conceited,holding an overblown view of one’s assets
Conceivable,capable of being conceived or imagined; possible; credible; thinkable.
Conceive ,to come up with a plan or idea
Conceived,imagined; visualized
